1609781614711	"2000"	"6"	"3"	"1037"	-3	"1142"	-8	"CO"	"1946"	65	"IAH"	"DFW"	224
1609781615212	"2000"	"9"	"12"	"2139"	-6	"2251"	4	"US"	"272"	72	"PHL"	"ALB"	212
1609781638729	"2000"	"11"	"6"	"2109"	-6	"2202"	-10	"US"	"1001"	53	"PHL"	"ORF"	211
1609781639229	"2000"	"7"	"7"	"1427"	-3	"1622"	2	"CO"	"310"	115	"EWR"	"DTW"	487
1609781644233	"2000"	"9"	"6"	"713"	-1	"903"	-19	"AA"	"1522"	170	"MIA"	"ORD"	1197
1609781644734	"2000"	"7"	"13"	"1330"	-5	"1446"	-7	"US"	"1122"	76	"DCA"	"PVD"	357
1609781584189	"2000"	"7"	"11"	"1513"	-2	"1638"	-17	"UA"	"275"	145	"BNA"	"DEN"	1013
1609781584690	"2000"	"3"	"23"	"1427"	-2	"1610"	4	"UA"	"1683"	163	"DEN"	"OAK"	957
1609781397545	"2000"	"7"	"14"	"659"	-1	"1002"	-4	"US"	"549"	123	"MCI"	"CLT"	809
1609781398045	"2000"	"5"	"3"	"1020"	0	"1126"	1	"WN"	"1648"	66	"RDU"	"BWI"	255
1609781523145	"2000"	"1"	"26"	"810"	0	"949"	-6	"WN"	"116"	99	"SJC"	"PDX"	569
1609781523645	"2000"	"6"	"19"	"1757"	-6	"1909"	-14	"UA"	"2635"	72	"SJC"	"LAX"	308
1609781574683	"2000"	"9"	"28"	"656"	-4	"1150"	-6	"DL"	"2056"	174	"SAN"	"DFW"	1171
1609781575184	"2000"	"6"	"20"	"2210"	0	"2230"	-3	"DL"	"2037"	80	"ATL"	"JAN"	341
1609781637228	"2000"	"1"	"6"	"2214"	-1	"2311"	-9	"NW"	"1534"	57	"MSP"	"MSN"	228
1609781637728	"2000"	"4"	"17"	"1722"	2	"1808"	-4	"DL"	"474"	46	"CMH"	"CVG"	116
1609781703774	"2000"	"8"	"10"	"1202"	-3	"1754"	-10	"CO"	"1858"	232	"SFO"	"IAH"	1635
1609781704275	"2000"	"12"	"2"	"1719"	-1	"2007"	-3	"CO"	"567"	168	"EWR"	"TPA"	998
1609781642232	"2000"	"10"	"11"	"1740"	0	"2253"	-4	"UA"	"1142"	193	"PHX"	"ORD"	1440
